Periodo,Entidad_Federativa,Sexo,Grupo_edad,Actividad_economica,Numero_personas
20200301,Baja California,Hombre,15 A 24 AÑOS,Comercio,28962
20200301,Baja California,Mujer,25 A 44 AÑOS,Industria Extractiva y de la Electricidad,1485
20200301,Baja California,Hombre,45 A 64 AÑOS,Industria Extractiva y de la Electricidad,3033
20200301,Baja California,Hombre,NO ESPECIFICADO,Gobierno y Organismos Internacionales,118
20200301,Baja California,Mujer,25 A 44 AÑOS,Industria Manufacturera,91866
20200301,Baja California,Hombre,65 AÑOS Y MAS,Construcción,3506
20200301,Baja California,Mujer,15 A 24 AÑOS,Restaurantes y Servicios de Alojamiento,13606
20200301,Baja California,Mujer,25 A 44 AÑOS,"Agricultura, Ganadería, Silvicultura, Caza y Pesca",8274
20200301,Baja California,Hombre,NO ESPECIFICADO,Servicios Sociales,143
20200301,Baja California,Mujer,15 A 24 AÑOS,"Transportes, Comunicaciones, Correo y Almacenamiento",1128
20200301,Baja California,Mujer,25 A 44 AÑOS,Servicios Diversos,39708
20200301,Baja California,Mujer,NO ESPECIFICADO,"Servicios Profesionales, Financieros y Corporativos",128
20200301,Baja California,Hombre,25 A 44 AÑOS,Construcción,50563
20200301,Baja California,Hombre,45 A 64 AÑOS,Servicios Diversos,27549
20200301,Baja California,Hombre,25 A 44 AÑOS,Restaurantes y Servicios de Alojamiento,26845
20200301,Baja California,Mujer,15 A 24 AÑOS,"Agricultura, Ganadería, Silvicultura, Caza y Pesca",1592
20200301,Baja California,Mujer,45 A 64 AÑOS,Construcción,1317
20200301,Baja California,Mujer,45 A 64 AÑOS,Servicios Sociales,27976
20200301,Baja California,Hombre,25 A 44 AÑOS,"Servicios Profesionales, Financieros y Corporativos",38824
20200301,Baja California,Hombre,45 A 64 AÑOS,Restaurantes y Servicios de Alojamiento,18236
20200301,Baja California,Mujer,25 A 44 AÑOS,Gobierno y Organismos Internacionales,14172
20200301,Baja California,Hombre,45 A 64 AÑOS,Construcción,53256
20200301,Baja California,Hombre,45 A 64 AÑOS,No Especificado,23273
20200301,Baja California,Hombre,45 A 64 AÑOS,Servicios Sociales,15853
20200301,Baja California,Hombre,65 AÑOS Y MAS,Comercio,6981
20200301,Baja California,Hombre,65 AÑOS Y MAS,Gobierno y Organismos Internacionales,1680
20200301,Baja California,Mujer,25 A 44 AÑOS,No Especificado,12195
20200301,Baja California,Hombre,15 A 24 AÑOS,Industria Manufacturera,51423
20200301,Baja California,Hombre,65 AÑOS Y MAS,"Servicios Profesionales, Financieros y Corporativos",4491
20200301,Baja California,Mujer,45 A 64 AÑOS,Comercio,45111
20200301,Baja California,Hombre,25 A 44 AÑOS,Comercio,74030
20200301,Baja California,Hombre,65 AÑOS Y MAS,Industria Manufacturera,2210
20200301,Baja California,Mujer,65 AÑOS Y MAS,Comercio,9418
20200301,Baja California Sur,Hombre,15 A 24 AÑOS,Industria Extractiva y de la Electricidad,277
20200301,Baja California Sur,Hombre,45 A 64 AÑOS,Industria Extractiva y de la Electricidad,797
20200301,Baja California Sur,Mujer,25 A 44 AÑOS,"Agricultura, Ganadería, Silvicultura, Caza y Pesca",2689
20200301,Baja California Sur,Mujer,65 AÑOS Y MAS,Comercio,510
20200301,Baja California Sur,Hombre,45 A 64 AÑOS,No Especificado,230
20200301,Baja California Sur,Mujer,45 A 64 AÑOS,Gobierno y Organismos Internacionales,3355
20200301,Baja California Sur,Mujer,65 AÑOS Y MAS,Industria Manufacturera,593
20200301,Baja California Sur,Hombre,25 A 44 AÑOS,Comercio,15954
20200301,Baja California Sur,Hombre,45 A 64 AÑOS,Construcción,13069
20200301,Baja California Sur,Mujer,25 A 44 AÑOS,Industria Manufacturera,5711
20200301,Baja California Sur,Hombre,45 A 64 AÑOS,Restaurantes y Servicios de Alojamiento,8797
20200301,Baja California Sur,Mujer,15 A 24 AÑOS,Industria Manufacturera,803
20200301,Baja California Sur,Mujer,25 A 44 AÑOS,Servicios Sociales,14118
20200301,Baja California Sur,Mujer,45 A 64 AÑOS,Comercio,8778
20200301,Baja California Sur,Mujer,45 A 64 AÑOS,Restaurantes y Servicios de Alojamiento,7631
20200301,Baja California Sur,Hombre,45 A 64 AÑOS,Gobierno y Organismos Internacionales,5418
20200301,Baja California Sur,Mujer,15 A 24 AÑOS,"Agricultura, Ganadería, Silvicultura, Caza y Pesca",160
20200301,Baja California Sur,Mujer,15 A 24 AÑOS,Servicios Diversos,3045
20200301,Baja California Sur,Mujer,15 A 24 AÑOS,"Servicios Profesionales, Financieros y Corporativos",1545
20200301,Baja California Sur,Hombre,45 A 64 AÑOS,Servicios Sociales,4231
20200301,Baja California Sur,Hombre,65 AÑOS Y MAS,Comercio,2025
20200301,Baja California Sur,Mujer,45 A 64 AÑOS,Industria Extractiva y de la Electricidad,89
20200301,Baja California Sur,Mujer,45 A 64 AÑOS,"Servicios Profesionales, Financieros y Corporativos",3265
20200301,Baja California Sur,Mujer,45 A 64 AÑOS,"Transportes, Comunicaciones, Correo y Almacenamiento",889
